2026-05-28T15:04:35.606593Z	info	FLAG: --concurrency="0"
2026-05-28T15:04:35.606607Z	info	FLAG: --domain="transit.svc.cluster.local"
2026-05-28T15:04:35.606609Z	info	FLAG: --help="false"
2026-05-28T15:04:35.606610Z	info	FLAG: --log_as_json="false"
2026-05-28T15:04:35.606611Z	info	FLAG: --log_caller=""
2026-05-28T15:04:35.606611Z	info	FLAG: --log_output_level="default:info"
2026-05-28T15:04:35.606612Z	info	FLAG: --log_stacktrace_level="default:none"
2026-05-28T15:04:35.606615Z	info	FLAG: --log_target="[stdout]"
2026-05-28T15:04:35.606616Z	info	FLAG: --meshConfig="./etc/istio/config/mesh"
2026-05-28T15:04:35.606617Z	info	FLAG: --outlierLogPath=""
2026-05-28T15:04:35.606618Z	info	FLAG: --profiling="true"
2026-05-28T15:04:35.606618Z	info	FLAG: --proxyComponentLogLevel="misc:error"
2026-05-28T15:04:35.606619Z	info	FLAG: --proxyLogLevel="warning"
2026-05-28T15:04:35.606619Z	info	FLAG: --serviceCluster="istio-proxy"
2026-05-28T15:04:35.606620Z	info	FLAG: --stsPort="0"
2026-05-28T15:04:35.606621Z	info	FLAG: --templateFile=""
2026-05-28T15:04:35.606621Z	info	FLAG: --tokenManagerPlugin=""
2026-05-28T15:04:35.606623Z	info	FLAG: --vklog="0"
2026-05-28T15:04:35.606625Z	info	Version 1.28.3-3b82a7d635-3b82a7d6352fc165489aa5c5be1077c6b705b4c9-Clean
2026-05-28T15:04:35.606766Z	info	Proxy role	ips=[10.20.0.53] type=router id=transit-tier1-gateway-9c6668f8-wdbmx.transit domain=transit.svc.cluster.local
2026-05-28T15:04:35.606796Z	info	Apply proxy config from env {"discoveryAddress":"istiod-stable.istio-system.svc:15012","tracing":{"customTags":{"cluster":{"literal":{"value":"cluster-1"}}}},"proxyMetadata":{"EXIT_ON_ZERO_ACTIVE_CONNECTIONS":"true","ISTIO_META_DNS_CAPTURE":"true","ISTIO_META_XCP_FILTER_EAST_WEST_GATEWAY_CLUSTER_CONFIG":"true","ISTIO_PROXY_READINESS_PROBE_TIMEOUT":"10s"},"holdApplicationUntilProxyStarts":true}

2026-05-28T15:04:35.607356Z	info	Apply proxy config from annotation 
discoveryAddress: istiod-stable.istio-system.svc:15012
holdApplicationUntilProxyStarts: true

tracing:
  
  
proxyMetadata:
  
  
  ISTIO_META_XCP_FILTER_EAST_WEST_GATEWAY_CLUSTER_CONFIG: "true"
  ISTIO_PROXY_READINESS_PROBE_TIMEOUT: 10s
2026-05-28T15:04:35.607401Z	info	cpu limit detected as 2, setting concurrency
2026-05-28T15:04:35.607581Z	info	Effective config: binaryPath: /usr/local/bin/envoy
concurrency: 2
configPath: ./etc/istio/proxy
controlPlaneAuthPolicy: MUTUAL_TLS
discoveryAddress: istiod-stable.istio-system.svc:15012
drainDuration: 45s
holdApplicationUntilProxyStarts: true
proxyAdminPort: 15000
proxyMetadata:
  EXIT_ON_ZERO_ACTIVE_CONNECTIONS: "true"
  ISTIO_META_DNS_CAPTURE: "true"
  ISTIO_META_XCP_FILTER_EAST_WEST_GATEWAY_CLUSTER_CONFIG: "true"
  ISTIO_PROXY_READINESS_PROBE_TIMEOUT: 10s
serviceCluster: istio-proxy
statNameLength: 189
statusPort: 15020
terminationDrainDuration: 5s
tracing:
  customTags:
    cluster:
      literal:
        value: cluster-1

2026-05-28T15:04:35.607588Z	info	JWT policy is third-party-jwt
2026-05-28T15:04:35.607590Z	info	using credential fetcher of JWT type in cluster.local trust domain
2026-05-28T15:04:35.810733Z	info	Starting default Istio SDS Server
2026-05-28T15:04:35.810756Z	info	CA Endpoint istiod-stable.istio-system.svc:15012, provider Citadel
2026-05-28T15:04:35.810766Z	info	Using CA istiod-stable.istio-system.svc:15012 cert with certs: var/run/secrets/istio/root-cert.pem
2026-05-28T15:04:35.810857Z	info	Opening status port 15020
2026-05-28T15:04:35.811573Z	info	xdsproxy	Initializing with upstream address "istiod-stable.istio-system.svc:15012" and cluster "cluster-1"
2026-05-28T15:04:35.812576Z	info	Pilot SAN: [istiod-stable.istio-system.svc]
2026-05-28T15:04:35.813013Z	info	Starting proxy agent
2026-05-28T15:04:35.813036Z	info	Envoy command: [-c etc/istio/proxy/envoy-rev.json --drain-time-s 45 --drain-strategy immediate --local-address-ip-version v4 --file-flush-interval-msec 1000 --disable-hot-restart --allow-unknown-static-fields -l warning --component-log-level misc:error --skip-deprecated-logs --concurrency 2]
2026-05-28T15:04:35.815128Z	info	sds	Starting SDS grpc server
2026-05-28T15:04:35.815239Z	info	sds	Starting SDS server for workload certificates, will listen on "var/run/secrets/workload-spiffe-uds/socket"
2026-05-28T15:04:35.843796Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=1
2026-05-28T15:04:35.872159Z	info	cache	generated new workload certificate	resourceName=default latency=59.376584ms ttl=23h59m59.127843743s
2026-05-28T15:04:35.872253Z	info	cache	Root cert has changed, start rotating root cert
2026-05-28T15:04:35.872300Z	info	cache	returned workload trust anchor from cache	ttl=23h59m59.127700701s
2026-05-28T15:04:36.561457Z	info	Readiness succeeded in 957.131251ms
2026-05-28T15:04:36.561745Z	info	Envoy proxy is ready
2026-05-28T15:04:36.707348Z	info	ads	ADS: new connection for node:1
2026-05-28T15:04:36.707387Z	info	cache	returned workload certificate from cache	ttl=23h59m58.292613951s
2026-05-28T15:04:36.707820Z	info	ads	ADS: new connection for node:2
2026-05-28T15:04:36.707851Z	info	cache	returned workload trust anchor from cache	ttl=23h59m58.292149867s
2026-05-28T15:35:08.764881Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=2
2026-05-28T16:03:35.958721Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=3
2026-05-28T16:35:37.319143Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=4
2026-05-28T17:04:03.316327Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=5
2026-05-28T17:33:15.110307Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=6
2026-05-28T18:03:51.614889Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=7
2026-05-28T18:34:02.859732Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=8
2026-05-28T19:03:09.951752Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=9
2026-05-28T19:32:36.078537Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=10
2026-05-28T20:01:43.410010Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=11
2026-05-28T20:48:41.085014Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=12
2026-05-28T23:54:31.629670Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=13
2026-05-29T02:38:46.707456Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=14
2026-05-29T05:08:24.506463Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=15
2026-05-29T05:50:28.496452Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=16
2026-05-29T06:21:49.708915Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=17
2026-05-29T06:54:57.467491Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=18
2026-05-29T07:23:35.773927Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=19
2026-05-29T07:53:25.850440Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=20
2026-05-29T08:21:34.793480Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=21
2026-05-29T08:54:00.901167Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=22
2026-05-29T09:25:22.743374Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=23
2026-05-29T09:53:49.140461Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=24
2026-05-29T10:25:44.006379Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=25
2026-05-29T10:34:13.949811Z	info	cache	generated new workload certificate	resourceName=default latency=21.633ms ttl=23h59m59.050192281s
2026-05-29T10:55:21.527449Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=26
2026-05-29T11:27:06.620359Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=27
2026-05-29T11:58:01.718138Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=28
2026-05-29T12:29:09.340331Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=29
2026-05-29T13:00:58.101466Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=30
