2026-05-28T15:04:35.677144Z	info	FLAG: --concurrency="0"
2026-05-28T15:04:35.677193Z	info	FLAG: --domain="echo-tr.svc.cluster.local"
2026-05-28T15:04:35.677196Z	info	FLAG: --help="false"
2026-05-28T15:04:35.677197Z	info	FLAG: --log_as_json="false"
2026-05-28T15:04:35.677197Z	info	FLAG: --log_caller=""
2026-05-28T15:04:35.677198Z	info	FLAG: --log_output_level="default:info"
2026-05-28T15:04:35.677199Z	info	FLAG: --log_stacktrace_level="default:none"
2026-05-28T15:04:35.677203Z	info	FLAG: --log_target="[stdout]"
2026-05-28T15:04:35.677204Z	info	FLAG: --meshConfig="./etc/istio/config/mesh"
2026-05-28T15:04:35.677204Z	info	FLAG: --outlierLogPath=""
2026-05-28T15:04:35.677205Z	info	FLAG: --profiling="true"
2026-05-28T15:04:35.677205Z	info	FLAG: --proxyComponentLogLevel="misc:error"
2026-05-28T15:04:35.677206Z	info	FLAG: --proxyLogLevel="warning"
2026-05-28T15:04:35.677207Z	info	FLAG: --serviceCluster="istio-proxy"
2026-05-28T15:04:35.677207Z	info	FLAG: --stsPort="0"
2026-05-28T15:04:35.677208Z	info	FLAG: --templateFile=""
2026-05-28T15:04:35.677209Z	info	FLAG: --tokenManagerPlugin=""
2026-05-28T15:04:35.677215Z	info	FLAG: --vklog="0"
2026-05-28T15:04:35.677216Z	info	Version 1.28.3-3b82a7d635-3b82a7d6352fc165489aa5c5be1077c6b705b4c9-Clean
2026-05-28T15:04:35.678252Z	info	Proxy role	ips=[10.30.0.21] type=router id=echo-tr-gateway-67dd96d555-xzndl.echo-tr domain=echo-tr.svc.cluster.local
2026-05-28T15:04:35.678300Z	info	Apply proxy config from env {"discoveryAddress":"istiod-stable.istio-system.svc:15012","tracing":{"customTags":{"cluster":{"literal":{"value":"cluster-2"}}}},"proxyMetadata":{"EXIT_ON_ZERO_ACTIVE_CONNECTIONS":"true","ISTIO_META_DNS_CAPTURE":"true","ISTIO_META_XCP_FILTER_EAST_WEST_GATEWAY_CLUSTER_CONFIG":"true","ISTIO_PROXY_READINESS_PROBE_TIMEOUT":"10s"},"holdApplicationUntilProxyStarts":true}

2026-05-28T15:04:35.679383Z	info	Apply proxy config from annotation 
discoveryAddress: istiod-stable.istio-system.svc:15012
holdApplicationUntilProxyStarts: true

tracing:
  
  
proxyMetadata:
  
  
  ISTIO_META_XCP_FILTER_EAST_WEST_GATEWAY_CLUSTER_CONFIG: "true"
  ISTIO_PROXY_READINESS_PROBE_TIMEOUT: 10s
2026-05-28T15:04:35.679438Z	info	cpu limit detected as 2, setting concurrency
2026-05-28T15:04:35.679654Z	info	Effective config: binaryPath: /usr/local/bin/envoy
concurrency: 2
configPath: ./etc/istio/proxy
controlPlaneAuthPolicy: MUTUAL_TLS
discoveryAddress: istiod-stable.istio-system.svc:15012
drainDuration: 45s
holdApplicationUntilProxyStarts: true
proxyAdminPort: 15000
proxyMetadata:
  EXIT_ON_ZERO_ACTIVE_CONNECTIONS: "true"
  ISTIO_META_DNS_CAPTURE: "true"
  ISTIO_META_XCP_FILTER_EAST_WEST_GATEWAY_CLUSTER_CONFIG: "true"
  ISTIO_PROXY_READINESS_PROBE_TIMEOUT: 10s
serviceCluster: istio-proxy
statNameLength: 189
statusPort: 15020
terminationDrainDuration: 5s
tracing:
  customTags:
    cluster:
      literal:
        value: cluster-2

2026-05-28T15:04:35.679664Z	info	JWT policy is third-party-jwt
2026-05-28T15:04:35.679666Z	info	using credential fetcher of JWT type in cluster.local trust domain
2026-05-28T15:04:35.882488Z	info	Opening status port 15020
2026-05-28T15:04:35.882506Z	info	Starting default Istio SDS Server
2026-05-28T15:04:35.882518Z	info	CA Endpoint istiod-stable.istio-system.svc:15012, provider Citadel
2026-05-28T15:04:35.882526Z	info	Using CA istiod-stable.istio-system.svc:15012 cert with certs: var/run/secrets/istio/root-cert.pem
2026-05-28T15:04:35.883006Z	info	xdsproxy	Initializing with upstream address "istiod-stable.istio-system.svc:15012" and cluster "cluster-2"
2026-05-28T15:04:35.883689Z	info	Pilot SAN: [istiod-stable.istio-system.svc]
2026-05-28T15:04:35.885506Z	info	Starting proxy agent
2026-05-28T15:04:35.885536Z	info	Envoy command: [-c etc/istio/proxy/envoy-rev.json --drain-time-s 45 --drain-strategy immediate --local-address-ip-version v4 --file-flush-interval-msec 1000 --disable-hot-restart --allow-unknown-static-fields -l warning --component-log-level misc:error --skip-deprecated-logs --concurrency 2]
2026-05-28T15:04:35.888135Z	info	sds	Starting SDS grpc server
2026-05-28T15:04:35.888156Z	info	sds	Starting SDS server for workload certificates, will listen on "var/run/secrets/workload-spiffe-uds/socket"
2026-05-28T15:04:35.903166Z	info	cache	generated new workload certificate	resourceName=default latency=17.944709ms ttl=23h59m59.096836368s
2026-05-28T15:04:35.903187Z	info	cache	Root cert has changed, start rotating root cert
2026-05-28T15:04:35.903205Z	info	cache	returned workload trust anchor from cache	ttl=23h59m59.096795493s
2026-05-28T15:04:35.917605Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=1
2026-05-28T15:04:36.184495Z	info	Readiness succeeded in 507.915667ms
2026-05-28T15:04:36.184701Z	info	Envoy proxy is ready
2026-05-28T15:04:37.344839Z	info	ads	ADS: new connection for node:1
2026-05-28T15:04:37.344881Z	info	cache	returned workload certificate from cache	ttl=23h59m57.655120075s
2026-05-28T15:04:37.345653Z	info	ads	ADS: new connection for node:2
2026-05-28T15:04:37.345720Z	info	cache	returned workload trust anchor from cache	ttl=23h59m57.65428195s
2026-05-28T15:33:56.790420Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=2
2026-05-28T16:07:07.511986Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=3
2026-05-28T16:37:12.298683Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=4
2026-05-28T17:06:14.091273Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=5
2026-05-28T17:35:51.389929Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=6
2026-05-28T18:03:39.482246Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=7
2026-05-28T18:31:31.146836Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=8
2026-05-28T18:59:36.269445Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=9
2026-05-28T19:31:04.570239Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=10
2026-05-28T20:03:57.527685Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=11
2026-05-28T21:33:31.863746Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=12
2026-05-29T00:18:35.612569Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=13
2026-05-29T03:13:25.716393Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=14
2026-05-29T05:32:06.023201Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=15
2026-05-29T06:03:22.097497Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=16
2026-05-29T06:34:30.045232Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=17
2026-05-29T07:03:53.778636Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=18
2026-05-29T07:31:30.913886Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=19
2026-05-29T08:03:59.811377Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=20
2026-05-29T08:36:23.657444Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=21
2026-05-29T09:05:14.837134Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=22
2026-05-29T09:32:46.261261Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=23
2026-05-29T10:02:40.419814Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=24
2026-05-29T10:17:37.186777Z	info	cache	generated new workload certificate	resourceName=default latency=27.75075ms ttl=23h59m59.813226367s
2026-05-29T10:31:38.460416Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=25
2026-05-29T10:59:43.018883Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=26
2026-05-29T11:31:53.999277Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=27
2026-05-29T12:02:46.877301Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=28
2026-05-29T12:32:34.077749Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=29
2026-05-29T12:59:54.108888Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=30
